time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-09T16:34:08.331Z,61.3228,-150.0895,38.6,0.9,ml,,,,0.48,ak,ak020f5kd41,2020-01-09T16:54:12.891Z,"15km NW of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-01-09T16:31:58.220Z,38.8238335,-122.7990036,2.92,0.88,md,16,105,0.008659,0.01,nc,nc73325691,2020-01-09T17:00:03.471Z,"6km NW of The Geysers, CA",earthquake,0.31,0.57,0.2,4,automatic,nc,nc
2020-01-09T16:12:50.970Z,37.6259995,-118.940834,10.58,0.94,md,9,116,0.01745,0.03,nc,nc73325681,2020-01-09T16:49:03.408Z,"4km ESE of Mammoth Lakes, CA",earthquake,1.44,3.89,0.14,7,automatic,nc,nc
2020-01-09T16:05:15.260Z,38.8138351,-122.8296661,1.66,0.56,md,10,62,0.004974,0.01,nc,nc73325676,2020-01-09T16:38:02.338Z,"8km WNW of The Geysers, CA",earthquake,0.31,0.71,,1,automatic,nc,nc
2020-01-09T16:04:01.960Z,33.6888333,-116.7543333,15.89,0.9,ml,23,67,0.04022,0.19,ci,ci39030247,2020-01-09T16:07:46.164Z,"7km SSW of Idyllwild, CA",earthquake,0.47,0.53,0.443,19,automatic,ci,ci
2020-01-09T16:01:29.820Z,17.9123,-66.7176,5,2.45,md,9,225,0.1716,0.22,pr,pr2020009015,2020-01-09T17:04:40.446Z,"9km S of Tallaboa, Puerto Rico",earthquake,1.15,0.72,0.42,7,reviewed,pr,pr
2020-01-09T15:58:00.271Z,60.6792,-151.1671,31.9,1.4,ml,,,,0.49,ak,ak020f5422j,2020-01-09T16:54:12.304Z,"6km E of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-09T15:57:06.410Z,33.0528333,-116.828,10.73,1.05,ml,20,148,0.1622,0.32,ci,ci39030223,2020-01-09T16:00:58.117Z,"4km ENE of Ramona, CA",earthquake,1.47,3.61,0.171,16,automatic,ci,ci
2020-01-09T15:56:17.980Z,36.7154999,-121.3610001,-0.53,1.95,md,14,150,0.08256,0.12,nc,nc73325671,2020-01-09T18:19:03.275Z,"9km SSW of Tres Pinos, CA",earthquake,0.52,1.14,0.28,16,automatic,nc,nc
2020-01-09T15:54:43.230Z,38.8371658,-122.8795013,2.86,0.59,md,11,88,0.008954,0.04,nc,nc73325661,2020-01-09T16:17:03.223Z,"12km ENE of Cloverdale, CA",earthquake,0.37,0.82,,3,automatic,nc,nc
2020-01-09T15:53:08.990Z,37.6351662,-119.0288315,1.04,0.92,md,11,87,0.007753,0.02,nc,nc73325656,2020-01-09T16:07:04.157Z,"4km W of Mammoth Lakes, CA",earthquake,0.3,0.55,0.15,10,automatic,nc,nc
2020-01-09T15:48:05.860Z,35.8781667,-117.692,7.41,1.61,ml,25,46,0.07735,0.16,ci,ci39030207,2020-01-09T15:59:16.480Z,"20km ESE of Little Lake, CA",earthquake,0.26,0.7,0.167,26,automatic,ci,ci
2020-01-09T15:40:43.939Z,62.1151,-148.2188,16.1,1.5,ml,,,,0.7,ak,ak020f50aji,2020-01-09T15:54:13.885Z,"48km NE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-09T15:37:56.410Z,33.0206667,-116.2261667,2.29,1.85,ml,45,60,0.09248,0.24,ci,ci39030199,2020-01-09T15:49:09.180Z,"16km SSW of Ocotillo Wells, CA",earthquake,0.29,0.6,0.147,26,automatic,ci,ci
2020-01-09T15:31:39.745Z,2.5364,128.8807,35,4.6,mb,,79,2.315,0.84,us,us70006wye,2020-01-09T16:45:00.040Z,"131km NE of Tobelo, Indonesia",earthquake,6.1,1.9,0.089,44,reviewed,us,us
2020-01-09T15:31:15.099Z,2.5728,128.9525,35,4.4,mb,,116,2.39,0.73,us,us70006wyd,2020-01-09T16:32:39.040Z,"140km NE of Tobelo, Indonesia",earthquake,9.8,2,0.111,27,reviewed,us,us
2020-01-09T15:24:20.630Z,35.7788315,-117.7030029,9.31,0.87,ml,12,69,0.0584,0.06,ci,ci39030191,2020-01-09T15:27:57.413Z,"18km NE of Inyokern, CA",earthquake,0.42,0.99,0.18,4,automatic,ci,ci
2020-01-09T15:17:42.270Z,35.7998333,-117.5898333,13.8,0.99,ml,8,150,0.01706,0.17,ci,ci39030175,2020-01-09T15:21:22.422Z,"17km WNW of Searles Valley, CA",earthquake,0.62,0.9,0.101,8,automatic,ci,ci
2020-01-09T15:13:14.610Z,35.882,-117.6866667,5.6,0.87,ml,13,80,0.07206,0.19,ci,ci39030167,2020-01-09T15:16:50.120Z,"21km ESE of Little Lake, CA",earthquake,0.36,1.31,0.131,9,automatic,ci,ci
2020-01-09T15:11:01.762Z,62.9115,-150.7068,6.1,1.5,ml,,,,0.88,ak,ak020f4tv59,2020-01-09T15:54:13.299Z,"72km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-09T15:08:30.513Z,60.0605,-153.2399,127.5,2.2,ml,,,,0.49,ak,ak020f4tele,2020-01-09T15:54:12.699Z,"54km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-09T15:07:02.931Z,69.6477,-144.3376,10,2.8,ml,,192,1.525,0.53,us,us70006wxs,2020-01-09T18:08:51.040Z,"60km SSW of Kaktovik, Alaska",earthquake,2.5,2,0.046,62,reviewed,us,us
2020-01-09T15:00:46.210Z,17.8723,-66.858,3,2.54,ml,9,240,0.21,0.2,pr,pr2020009014,2020-01-09T18:16:12.040Z,"17km SSE of Guanica, Puerto Rico",earthquake,1.13,0.55,0,0,reviewed,pr,pr
2020-01-09T14:58:34.190Z,19.2438335,-155.4228363,32.76,2.19,ml,56,99,0.02475,0.12,hv,hv71324612,2020-01-09T15:04:10.480Z,"7km NE of Pahala, Hawaii",earthquake,0.4,0.51,0.17,3,automatic,hv,hv
2020-01-09T14:35:30.700Z,35.9711685,-120.5268326,7.09,1.13,md,15,89,0.02448,0.03,nc,nc73325631,2020-01-09T16:53:03.429Z,"12km NW of Parkfield, CA",earthquake,0.45,0.6,0.19,6,automatic,nc,nc
2020-01-09T14:12:16.474Z,64.3914,-149.7097,0,1.5,ml,,,,1.63,ak,ak020f48sqr,2020-01-09T14:54:12.280Z,"35km SW of North Nenana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-01-09T14:07:27.320Z,38.8271675,-122.802002,2.08,1.21,md,20,67,0.007345,0.02,nc,nc73325626,2020-01-09T16:27:04.272Z,"7km NW of The Geysers, CA",earthquake,0.2,0.42,0.09,4,automatic,nc,nc
2020-01-09T14:05:46.470Z,35.7475,-117.5661667,6.06,0.99,ml,12,132,0.07271,0.17,ci,ci39030135,2020-01-09T14:45:19.963Z,"15km W of Searles Valley, CA",earthquake,0.44,1.12,0.129,12,reviewed,ci,ci
2020-01-09T14:01:07.880Z,38.8268318,-122.8024979,2.01,1.15,md,20,54,0.006841,0.01,nc,nc73325616,2020-01-09T16:00:04.026Z,"7km NW of The Geysers, CA",earthquake,0.2,0.44,0.16,5,automatic,nc,nc
2020-01-09T14:01:06.890Z,40.3573341,-122.1221695,13.16,2.7,md,18,80,0.1487,0.05,nc,nc73325611,2020-01-09T15:33:03.859Z,"18km SE of Anderson, CA",earthquake,0.3,0.75,0.18,23,automatic,nc,nc
2020-01-09T13:56:32.937Z,-21.6954,-68.5368,130.54,4.6,mb,,49,0.663,0.35,us,us70006wx8,2020-01-09T16:31:48.040Z,"94km NNE of Calama, Chile",earthquake,4.1,8.9,0.222,6,reviewed,us,us
2020-01-09T13:51:26.367Z,61.3605,-150.0081,31.8,1.5,ml,,,,0.79,ak,ak020f3vqv0,2020-01-09T13:56:23.556Z,"16km NNW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-09T13:45:59.400Z,33.4931667,-116.7796667,7.68,0.39,ml,15,81,0.08027,0.18,ci,ci39030119,2020-01-09T14:45:36.765Z,"10km NE of Aguanga, CA",earthquake,0.45,1.12,0.032,8,reviewed,ci,ci
2020-01-09T13:45:12.574Z,61.3584,-150.0737,35.5,1.5,ml,,,,0.52,ak,ak020f3ufhw,2020-01-09T13:54:11.968Z,"18km NNW of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-01-09T13:34:40.260Z,35.8611667,-117.7025,8.12,0.75,ml,8,75,0.07297,0.24,ci,ci39030095,2020-01-09T13:38:18.700Z,"20km ESE of Little Lake, CA",earthquake,0.75,2.04,0.173,9,automatic,ci,ci
2020-01-09T13:31:56.700Z,34.968,-118.614,4.06,1.31,ml,16,58,0.07237,0.2,ci,ci39030087,2020-01-09T13:35:43.684Z,"21km N of Neenach, CA",earthquake,0.34,1.04,0.285,21,automatic,ci,ci
2020-01-09T13:29:39.930Z,38.7961655,-122.7659988,1.39,1.04,md,14,78,0.01739,0.03,nc,nc73325601,2020-01-09T13:53:03.253Z,"2km NNW of The Geysers, CA",earthquake,0.24,0.52,0.05,4,automatic,nc,nc
2020-01-09T13:27:48.750Z,37.0767,-115.6887,7,0.9,ml,17,146.54,0.217,0.25,nn,nn00715025,2020-01-09T13:32:00.929Z,"56km SW of Alamo, Nevada",earthquake,,22.5,,,automatic,nn,nn
2020-01-09T13:24:17.190Z,36.8453331,-121.5751648,6.03,1.96,md,19,69,0.04597,0.06,nc,nc73325596,2020-01-09T15:18:02.760Z,"3km W of San Juan Bautista, CA",earthquake,0.28,0.72,0.27,16,automatic,nc,nc
2020-01-09T13:24:05.110Z,36.8428345,-121.5768356,5.11,2.41,md,24,90,0.04337,0.09,nc,nc73325591,2020-01-09T14:49:03.597Z,"4km W of San Juan Bautista, CA",earthquake,0.31,0.54,0.26,18,automatic,nc,nc
2020-01-09T13:20:51.580Z,35.646,-117.4741667,9.7,1.58,ml,28,78,0.04867,0.17,ci,ci39030079,2020-01-09T14:46:20.450Z,"15km SSW of Searles Valley, CA",earthquake,0.3,0.59,0.161,25,reviewed,ci,ci
2020-01-09T12:51:24.160Z,34.967,-118.6138333,2.68,1.42,ml,22,44,0.07163,0.23,ci,ci39030071,2020-01-09T14:46:12.356Z,"21km N of Neenach, CA",earthquake,0.33,0.83,0.222,29,reviewed,ci,ci
2020-01-09T12:51:09.660Z,33.5901667,-116.8053333,4.99,0.25,ml,19,66,0.0346,0.16,ci,ci39030063,2020-01-09T12:54:55.442Z,"13km WNW of Anza, CA",earthquake,0.34,0.7,0.206,6,automatic,ci,ci
2020-01-09T12:41:39.440Z,38.8258324,-122.8130035,1.24,0.56,md,8,83,0.003341,0.06,nc,nc73325581,2020-01-09T13:07:02.981Z,"7km NW of The Geysers, CA",earthquake,0.39,1.5,,1,automatic,nc,nc
2020-01-09T12:40:17.950Z,33.5841667,-116.8061667,4.95,0.19,ml,15,68,0.03638,0.09,ci,ci39030055,2020-01-09T17:42:25.386Z,"13km WNW of Anza, CA",earthquake,0.2,0.34,0.124,4,reviewed,ci,ci
2020-01-09T12:31:46.130Z,33.4583333,-116.585,7.16,0.96,ml,36,40,0.03902,0.15,ci,ci39030047,2020-01-09T14:47:29.970Z,"14km SE of Anza, CA",earthquake,0.19,0.39,0.16,26,reviewed,ci,ci
2020-01-09T12:24:38.820Z,38.8258324,-122.8550034,1.99,0.79,md,14,81,0.002249,0.04,nc,nc73325571,2020-01-09T14:08:03.358Z,"10km WNW of The Geysers, CA",earthquake,0.3,0.59,0.14,2,automatic,nc,nc
2020-01-09T12:21:38.040Z,19.4099998,-155.2741699,0.13,1.83,md,15,42,0.01208,0.09,hv,hv71324497,2020-01-09T12:27:13.950Z,"4km WSW of Volcano, Hawaii",earthquake,0.13,0.26,0.16,14,automatic,hv,hv
2020-01-09T12:20:38.013Z,61.7264,-146.4251,19.8,1.8,ml,,,,1.02,ak,ak020f33oyz,2020-01-09T12:54:13.850Z,"62km SW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-09T12:17:14.980Z,35.8269997,-117.6711655,8,1.26,ml,21,50,0.06091,0.12,ci,ci39030039,2020-01-09T12:28:15.930Z,"23km N of Ridgecrest, CA",earthquake,0.28,0.91,0.182,5,automatic,ci,ci
2020-01-09T12:14:32.854Z,36.7771,-33.7928,10,4.9,mb,,120,23.27,0.92,us,us70006wws,2020-01-09T12:38:58.040Z,"Azores Islands region",earthquake,14.7,1.9,0.071,62,reviewed,us,us
2020-01-09T12:12:09.721Z,61.8634,-149.4996,15.1,0.8,ml,,,,0.17,ak,ak020f31syz,2020-01-09T17:54:45.601Z,"19km NW of Fishhook, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2020-01-09T11:57:26.060Z,61.3244,-150.1048,33.2,1.7,ml,,,,0.41,ak,ak020f2q5x8,2020-01-09T12:54:12.657Z,"16km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-09T11:54:47.700Z,17.9485,-66.8238,7,3.5,ml,9,211,0.2214,0.19,pr,pr2020009013,2020-01-09T14:28:35.588Z,"5km S of Indios, Puerto Rico",earthquake,0.89,1.81,0.09,5,reviewed,pr,pr
2020-01-09T11:53:31.410Z,36.7202,-115.797,0.2,0.3,ml,11,254.29,0.128,0.22,nn,nn00715022,2020-01-09T12:21:59.666Z,"59km NNE of Pahrump, Nevada",earthquake,,17.9,,,automatic,nn,nn
2020-01-09T11:46:48.210Z,34.9665,-118.618,4.31,2.04,ml,43,33,0.06928,0.18,ci,ci39030031,2020-01-09T11:58:07.970Z,"21km N of Neenach, CA",earthquake,0.21,0.84,0.233,26,automatic,ci,ci
2020-01-09T11:40:33.850Z,35.9861667,-117.488,1.72,1.19,ml,21,65,0.1051,0.1,ci,ci39030023,2020-01-09T11:44:09.012Z,"26km NNW of Searles Valley, CA",earthquake,0.24,0.35,0.136,12,automatic,ci,ci
2020-01-09T11:24:41.410Z,17.9583,-66.9468,5,4.42,ml,10,199,0.0981,0.14,pr,pr2020009012,2020-01-09T18:13:31.889Z,"9km SSW of Guanica, Puerto Rico",earthquake,0.6,0.91,0.3,6,reviewed,pr,pr
2020-01-09T11:15:49.190Z,35.6073333,-117.464,7.84,1.44,ml,22,44,0.02084,0.18,ci,ci39030015,2020-01-09T14:48:37.330Z,"19km SSW of Searles Valley, CA",earthquake,0.38,0.55,0.255,20,reviewed,ci,ci
2020-01-09T11:11:44.160Z,33.1351667,-116.0743333,6.46,1.27,ml,30,41,0.08112,0.26,ci,ci39030007,2020-01-09T11:15:27.233Z,"5km E of Ocotillo Wells, CA",earthquake,0.37,1.54,0.166,29,automatic,ci,ci
2020-01-09T11:03:54.662Z,61.5646,-149.9021,34,1.6,ml,,,,0.81,ak,ak020f2engq,2020-01-09T11:54:12.809Z,"5km NNE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-09T10:59:58.469Z,61.9602,-147.4851,36.7,1.9,ml,,,,0.78,ak,ak020f25889,2020-01-09T11:54:12.217Z,"74km ENE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-09T10:51:58.826Z,34.6126,45.4872,7.67,4.7,mb,,78,0.538,0.57,us,us70006wvp,2020-01-09T11:11:40.791Z,"38km WNW of Sarpol-e Zahab, Iran",earthquake,6.4,5.7,0.133,17,reviewed,us,us
2020-01-09T10:49:55.096Z,58.592,-155.2678,129.9,2.4,ml,,,,0.53,ak,ak020f232r3,2020-01-09T17:54:44.462Z,"81km E of King Salmon, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-01-09T10:49:38.110Z,33.5026667,-116.7743333,2.44,0.44,ml,17,56,0.02379,0.22,ci,ci39029999,2020-01-09T10:53:21.706Z,"11km NE of Aguanga, CA",earthquake,0.35,0.36,0.067,10,automatic,ci,ci
2020-01-09T10:47:20.167Z,62.2185,170.9351,10,4.7,mb,,105,6.166,1.04,us,us70006wvi,2020-01-09T11:03:20.040Z,"Chukotskiy Avtonomnyy Okrug, Russia",earthquake,9.1,1.9,0.034,269,reviewed,us,us
2020-01-09T10:44:48.880Z,19.3845005,-155.2189941,1.33,2.16,ml,33,106,0.01116,0.2,hv,hv71324407,2020-01-09T10:50:22.470Z,"5km SSE of Volcano, Hawaii",earthquake,0.34,0.26,0.32,12,automatic,hv,hv
2020-01-09T10:40:46.490Z,36.0725,-117.9071667,5.64,1.01,ml,13,174,0.06179,0.13,ci,ci39029991,2020-01-09T14:48:15.295Z,"5km NE of Coso Junction, CA",earthquake,0.4,0.68,0.299,13,reviewed,ci,ci
2020-01-09T10:39:28.670Z,33.5671667,-116.6306667,11.81,0.62,ml,29,41,0.0005033,0.12,ci,ci39029983,2020-01-09T10:43:13.129Z,"4km ENE of Anza, CA",earthquake,0.21,0.39,0.22,18,automatic,ci,ci
2020-01-09T10:34:44.859Z,34.96116667,-97.6875,9.78,1.39,ml,31,63,0.0863830487,0.26,ok,ok2020apkz,2020-01-09T14:32:51.317Z,"16km NNW of Lindsay, Oklahoma",earthquake,,1.3,0.18,7,reviewed,ok,ok
2020-01-09T10:30:45.189Z,36.289,-98.16866667,7.14,2.28,ml,61,73,0.05039011174,0.17,ok,ok2020apkv,2020-01-09T14:22:37.880Z,"23km NE of Okeene, Oklahoma",earthquake,,0.5,0.25,27,reviewed,ok,ok
2020-01-09T10:28:11.960Z,33.8281667,-117.7001667,7.66,0.91,ml,18,66,0.04125,0.12,ci,ci39029975,2020-01-09T17:28:39.605Z,"10km E of Villa Park, CA",earthquake,0.24,0.53,0.111,8,reviewed,ci,ci
2020-01-09T10:26:21.960Z,19.1954994,-155.5026703,1.82,1.79,md,32,81,0.05272,0.19,hv,hv71324397,2020-01-09T10:29:32.170Z,"2km WSW of Pahala, Hawaii",earthquake,0.36,0.68,0.16,8,automatic,hv,hv
2020-01-09T10:18:00.520Z,33.5908333,-116.8061667,5.36,-0.21,ml,14,73,0.03523,0.09,ci,ci39029967,2020-01-09T17:23:21.632Z,"13km WNW of Anza, CA",earthquake,0.24,0.44,0.021,5,reviewed,ci,ci
2020-01-09T10:15:47.510Z,36.6918,-115.7715,0.1,0.5,ml,11,296.06,0.202,0.21,nn,nn00715016,2020-01-09T11:16:59.333Z,"56km NNE of Pahrump, Nevada",earthquake,,18.5,,,automatic,nn,nn
2020-01-09T10:15:26.920Z,33.498,-116.7786667,1.62,2.03,ml,74,21,0.0231,0.23,ci,ci39029959,2020-01-09T10:26:39.000Z,"10km NE of Aguanga, CA",earthquake,0.18,0.33,0.149,25,automatic,ci,ci
2020-01-09T10:11:12.353Z,62.3363,171.093,10,5,mb,,173,6.073,1.18,us,us70006wv3,2020-01-09T10:28:33.040Z,"Chukotskiy Avtonomnyy Okrug, Russia",earthquake,10.6,1.9,0.029,381,reviewed,us,us
2020-01-09T10:09:48.234Z,-19.66,-70.0712,36.65,4.4,mb,,160,0.404,0.86,us,us70006wv2,2020-01-09T12:44:46.212Z,"62km N of Iquique, Chile",earthquake,3.9,27.4,0.31,3,reviewed,us,us
2020-01-09T10:03:31.750Z,38.8408318,-122.8766632,2.34,0.1,md,6,217,0.006335,0.01,nc,nc73325521,2020-01-09T11:49:03.517Z,"13km NW of The Geysers, CA",earthquake,1.05,0.86,,1,automatic,nc,nc
2020-01-09T10:02:23.310Z,38.7783318,-122.7426682,0.61,0.16,md,6,141,0.00675,0.01,nc,nc73325516,2020-01-09T11:22:03.350Z,"1km E of The Geysers, CA",earthquake,0.45,0.74,0.08,2,automatic,nc,nc
2020-01-09T09:56:48.069Z,62.281,170.9948,10,4.8,mb,,89,6.113,0.88,us,us70006wuz,2020-01-09T10:17:06.040Z,"Chukotskiy Avtonomnyy Okrug, Russia",earthquake,8.4,1.9,0.03,353,reviewed,us,us
2020-01-09T09:47:24.820Z,46.5493333,-112.6235,13.25,1.97,ml,17,109,0.093,0.19,mb,mb80377874,2020-01-09T15:24:29.210Z,"18km NNE of Deer Lodge, Montana",earthquake,0.48,0.67,0.173,9,reviewed,mb,mb
2020-01-09T09:40:09.990Z,35.6285,-117.4656667,9.42,1.13,ml,14,74,0.03626,0.13,ci,ci39029951,2020-01-09T09:43:52.756Z,"16km SSW of Searles Valley, CA",earthquake,0.49,0.71,0.153,9,automatic,ci,ci
2020-01-09T09:33:21.340Z,59.8038,-151.7985,46.9,1.4,ml,,,,0.46,ak,ak020f1e55y,2020-01-09T09:50:38.404Z,"3km NNE of Anchor Point, Alaska",earthquake,,2,,,automatic,ak,ak
2020-01-09T09:24:33.536Z,60.67,-150.4004,40.2,1.8,ml,,,,0.49,ak,ak020f1c8ns,2020-01-09T09:50:37.796Z,"24km NE of Sterling, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-01-09T09:24:00.250Z,17.982,-66.888,8,3.1,md,10,187,0.1567,0.19,pr,pr2020009010,2020-01-09T11:43:38.341Z,"3km SE of Maria Antonia, Puerto Rico",earthquake,0.64,1.29,0.32,9,reviewed,pr,pr
2020-01-09T09:23:55.930Z,35.6308333,-117.4706667,6.53,1.26,ml,23,50,0.03594,0.19,ci,ci39029943,2020-01-09T14:48:48.865Z,"16km SSW of Searles Valley, CA",earthquake,0.37,0.67,0.207,17,reviewed,ci,ci
2020-01-09T09:23:37.170Z,33.4981667,-116.7818333,6.64,0.56,ml,21,82,0.02098,0.17,ci,ci39029935,2020-01-09T14:48:55.505Z,"10km NE of Aguanga, CA",earthquake,0.29,0.72,0.099,16,reviewed,ci,ci
2020-01-09T09:20:57.540Z,33.9996667,-118.1765,17.05,1.85,ml,54,28,0.03326,0.27,ci,ci39029927,2020-01-09T09:32:22.040Z,"2km W of Commerce, CA",earthquake,0.35,0.59,0.212,24,automatic,ci,ci
2020-01-09T09:00:26.340Z,38.5727,-118.4207,9.3,1.6,ml,10,105.94,0.091,0.07,nn,nn00715013,2020-01-09T09:25:17.884Z,"18km ENE of Hawthorne, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-01-09T08:49:27.430Z,19.2206669,-155.4381714,34.47,1.95,md,29,138,0.06874,0.2,hv,hv71324307,2020-01-09T08:52:36.600Z,"4km ENE of Pahala, Hawaii",earthquake,0.97,1.11,0.14,4,automatic,hv,hv
2020-01-09T08:47:10.330Z,33.3395,-116.3666667,10.84,1.29,ml,44,79,0.05293,0.22,ci,ci39029911,2020-01-09T08:50:45.117Z,"9km N of Borrego Springs, CA",earthquake,0.33,0.54,0.208,20,automatic,ci,ci
2020-01-09T08:45:09.160Z,36.6539993,-121.3085022,4.96,1.39,md,13,122,0.04333,0.12,nc,nc73325496,2020-01-09T10:55:04.180Z,"15km S of Tres Pinos, CA",earthquake,0.5,1.09,0.3,11,automatic,nc,nc
2020-01-09T08:44:43.270Z,33.525,-116.5186667,13.47,0.99,ml,41,41,0.03401,0.22,ci,ci39029903,2020-01-09T14:49:44.620Z,"15km ESE of Anza, CA",earthquake,0.3,0.47,0.201,26,reviewed,ci,ci
2020-01-09T08:39:24.220Z,17.9671,-66.7675,11,3.57,md,10,195,0.1781,0.28,pr,pr2020009009,2020-01-09T09:42:38.595Z,"6km SW of Tallaboa, Puerto Rico",earthquake,1.28,0.86,0.09,6,reviewed,pr,pr
2020-01-09T08:38:08.316Z,62.3408,171.0597,10,6.3,mww,,21,6.064,0.8,us,us70006wuf,2020-01-09T18:02:48.040Z,"Chukotskiy Avtonomnyy Okrug, Russia",earthquake,7.2,0.7,0.052,35,reviewed,us,us
2020-01-09T08:36:09.329Z,59.8324,-152.5204,77.1,0.8,ml,,,,0.1,ak,ak020f0tbs4,2020-01-09T08:50:39.160Z,"39km W of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
